category,value,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine biomedicine,0.9,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine biomedicine,0.9,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine biomedicine,0.9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine biomedicine,1,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine biomedicine,1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine biomedicine,1,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine biomedicine,1,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maren electric power and seawater utilization industry,1,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maren electric power and seawater utilization industry,1.1,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maren electric power and seawater utilization industry,1.1,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maren electric power and seawater utilization industry,1.1,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maren electric power and seawater utilization industry,1.1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maren electric power and seawater utilization industry,1.2,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maren electric power and seawater utilization industry,1.2,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine shipbuilting industry,30.8,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine shipbuilting industry,31.4,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine shipbuilting industry,31.9,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine shipbuilting industry,32.7,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine shipbuilting industry,33.4,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine shipbuilting industry,33.9,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine shipbuilting industry,34.3,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marein engineering architecture,58,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marein engineering architecture,59.2,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marein engineering architecture,60.2,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marein engineering architecture,61.6,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marein engineering architecture,63,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marein engineering architecture,63.9,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marein engineering architecture,64.7,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine communication and trasportation industry,76,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine communication and trasportation industry,77.5,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine communication and trasportation industry,78.8,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine communication and trasportation industry,80.7,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine communication and trasportation industry,82.5,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine communication and trasportation industry,83.6,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marine communication and trasportation industry,84.7,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coastal tourism,117.1,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coastal tourism,119.5,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coastal tourism,121.4,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coastal tourism,124.4,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coastal tourism,127.1,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coastal tourism,128.9,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coastal tourism,130.6,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
